head_face_function-f3g1a_p2r1,p2,23077,23979,context_focused_hf
head_face_function-f3g1a_p2r1,p2,26810,28110,context_focused_hf
head_face_function-f3g1a_p2r1,p2,37491,38388,self_focused_hf
head_face_function-f3g1a_p2r1,p2,40635,41913,self_focused_hf
head_face_function-f3g1a_p2r1,p2,51949,53591,self_focused_hf
head_face_function-f3g1a_p2r1,p2,59806,60630,context_focused_hf
head_face_function-f3g1a_p2r1,p2,61110,62074,context_focused_hf
head_face_function-f3g1a_p2r1,p2,62074,62811,context_focused_hf
head_face_function-f3g1a_p2r1,p2,68527,69087,self_focused_hf
head_face_function-f3g1a_p2r1,p2,71894,72398,self_focused_hf
head_face_function-f3g1a_p2r1,p2,74730,78427,context_focused_hf
head_face_function-f3g1a_p2r1,p2,81990,82749,context_focused_hf
head_face_function-f3g1a_p2r1,p2,92149,92831,self_focused_hf
head_face_function-f3g1a_p2r1,p2,96216,97475,self_focused_hf
head_face_function-f3g1a_p2r1,p2,102971,103391,self_focused_hf
head_face_function-f3g1a_p2r1,p2,113167,114110,context_focused_hf
head_face_function-f3g1a_p2r1,p2,119147,119578,context_focused_hf
head_face_function-f3g1a_p2r1,p2,120010,120775,context_focused_hf
head_face_function-f3g1a_p2r1,p2,121235,122458,context_focused_hf
head_face_function-f3g1a_p2r1,p2,150391,152427,self_focused_hf
head_face_function-f3g1a_p2r1,p2,181474,182376,self_focused_hf
head_face_function-f3g1a_p2r1,p2,182708,184249,self_focused_hf
head_face_function-f3g1a_p2r1,p2,186775,187771,context_focused_hf
head_face_function-f3g1a_p2r1,p2,190136,190694,context_focused_hf
head_face_function-f3g1a_p2r1,p2,191708,192126,self_focused_hf
head_face_function-f3g1a_p2r1,p2,192590,193010,self_focused_hf
head_face_function-f3g1a_p2r1,p2,193200,193427,self_focused_hf
head_face_function-f3g1a_p2r1,p2,195669,196081,self_focused_hf
head_face_function-f3g1a_p2r1,p2,198471,199281,self_focused_hf
head_face_function-f3g1a_p2r1,p2,205564,206667,self_focused_hf
head_face_function-f3g1a_p2r1,p2,208540,209515,self_focused_hf
head_face_function-f3g1a_p2r1,p2,217027,217911,self_focused_hf
head_face_function-f3g1a_p2r1,p2,235651,236427,self_focused_hf
head_face_function-f3g1a_p2r1,p2,244848,245337,self_focused_hf
head_face_function-f3g1a_p2r1,p2,246767,247217,self_focused_hf
head_face_function-f3g1a_p2r1,p2,281377,282531,self_focused_hf
head_face_function-f3g1a_p2r1,p2,302130,303471,self_focused_hf
lower_body_function-f3g1a_p2r1,p2,11878,14980,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,17333,19058,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,19691,21032,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,55049,61716,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,65136,65549,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,68960,70472,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,93293,101790,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,120611,122591,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,182388,183791,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,193109,194072,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,194506,197375,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,198715,203188,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,206176,212333,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,214448,218283,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,240698,241451,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,257307,258824,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,259178,265552,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,281648,282911,self-focused_lb
lower_body_function-f3g1a_p2r1,p2,298271,302213,self-focused_lb
location-f3g1a_p2r1,p2,0,54584,sit_full
location-f3g1a_p2r1,p2,54584,61912,settling
location-f3g1a_p2r1,p2,61912,93291,sit_full
location-f3g1a_p2r1,p2,93291,101797,settling
location-f3g1a_p2r1,p2,101797,214652,sit_full
location-f3g1a_p2r1,p2,214652,218659,settling
location-f3g1a_p2r1,p2,218659,308777,sit_full
location-f3g1a_p2r1,p2,308777,313629,goTo_prep
location-f3g1a_p2r1,p2,313629,318381,goTo_object
location-f3g1a_p2r1,p2,318381,343466,stand_at_objT
location-f3g1a_p2r1,p2,343466,357545,goTo_gameT
location-f3g1a_p2r1,p2,357545,360012,stand_at_gameT
head_face_mu-f3g1a_p2r1,p2,10252,11679,mu_eyes_brows
head_face_mu-f3g1a_p2r1,p2,16754,17772,mu_head
head_face_mu-f3g1a_p2r1,p2,18055,18697,mu_head
head_face_mu-f3g1a_p2r1,p2,19031,19382,mu_head
head_face_mu-f3g1a_p2r1,p2,23077,23979,mu_head
head_face_mu-f3g1a_p2r1,p2,26810,28110,mu_head
head_face_mu-f3g1a_p2r1,p2,37491,38388,mu_head
head_face_mu-f3g1a_p2r1,p2,40635,41913,mu_head
head_face_mu-f3g1a_p2r1,p2,51949,53591,mu_head
head_face_mu-f3g1a_p2r1,p2,59806,60630,mu_head
head_face_mu-f3g1a_p2r1,p2,61110,62074,mu_eyes_brows_head
head_face_mu-f3g1a_p2r1,p2,62074,62811,mu_head
head_face_mu-f3g1a_p2r1,p2,68527,69087,mu_head
head_face_mu-f3g1a_p2r1,p2,71894,72398,mu_head
head_face_mu-f3g1a_p2r1,p2,74730,78427,mu_head
head_face_mu-f3g1a_p2r1,p2,81990,82749,mu_head
head_face_mu-f3g1a_p2r1,p2,92149,92831,mu_head
head_face_mu-f3g1a_p2r1,p2,96216,97475,mu_head
head_face_mu-f3g1a_p2r1,p2,102971,103391,mu_head
head_face_mu-f3g1a_p2r1,p2,113167,114110,mu_head
head_face_mu-f3g1a_p2r1,p2,119147,119578,mu_head
head_face_mu-f3g1a_p2r1,p2,120010,120775,mu_head
head_face_mu-f3g1a_p2r1,p2,121235,122458,mu_head
head_face_mu-f3g1a_p2r1,p2,150391,152427,mu_head
head_face_mu-f3g1a_p2r1,p2,181474,182376,mu_head
head_face_mu-f3g1a_p2r1,p2,182708,184249,mu_head
head_face_mu-f3g1a_p2r1,p2,186775,187771,mu_head
head_face_mu-f3g1a_p2r1,p2,190136,190694,mu_head
head_face_mu-f3g1a_p2r1,p2,191708,192126,mu_head
head_face_mu-f3g1a_p2r1,p2,192590,193010,mu_head
head_face_mu-f3g1a_p2r1,p2,193200,193427,mu_head
head_face_mu-f3g1a_p2r1,p2,195669,196081,mu_head
head_face_mu-f3g1a_p2r1,p2,198471,199281,mu_head
head_face_mu-f3g1a_p2r1,p2,205564,206667,mu_head
head_face_mu-f3g1a_p2r1,p2,208540,209515,mu_head
head_face_mu-f3g1a_p2r1,p2,217027,217911,mu_head
head_face_mu-f3g1a_p2r1,p2,235651,236427,mu_head
head_face_mu-f3g1a_p2r1,p2,244848,245337,mu_head
head_face_mu-f3g1a_p2r1,p2,246767,247217,mu_head
head_face_mu-f3g1a_p2r1,p2,281377,282531,mu_head
head_face_mu-f3g1a_p2r1,p2,302130,303471,mu_head
lower_body_mu-f3g1a_p2r1,p2,11878,14980,mu_feet_both
lower_body_mu-f3g1a_p2r1,p2,17333,19058,mu_foot_left
lower_body_mu-f3g1a_p2r1,p2,19691,21032,mu_foot_right
lower_body_mu-f3g1a_p2r1,p2,55049,61716,mu_lb_all
lower_body_mu-f3g1a_p2r1,p2,65136,65549,mu_foot_right
lower_body_mu-f3g1a_p2r1,p2,68960,70472,mu_feet_both
lower_body_mu-f3g1a_p2r1,p2,93293,101790,mu_lb_all
lower_body_mu-f3g1a_p2r1,p2,120611,122591,mu_legs_both
lower_body_mu-f3g1a_p2r1,p2,182388,183791,mu_feet_both
lower_body_mu-f3g1a_p2r1,p2,193109,194072,mu_feet_both
lower_body_mu-f3g1a_p2r1,p2,194506,197375,mu_legs_both
lower_body_mu-f3g1a_p2r1,p2,198715,203188,mu_feet_both
lower_body_mu-f3g1a_p2r1,p2,206176,212333,mu_feet_both
lower_body_mu-f3g1a_p2r1,p2,214448,218283,mu_lb_all
lower_body_mu-f3g1a_p2r1,p2,240698,241451,mu_foot_right
lower_body_mu-f3g1a_p2r1,p2,257307,258824,mu_feet_both
lower_body_mu-f3g1a_p2r1,p2,259178,265552,mu_foot_left
