gaze s1,Cara,290902,291657,background wall
gaze s1,Cara,291657,293076,face s3
gaze s1,Cara,293076,298161,body s3
gaze s1,Cara,298161,298715,background floor
gaze s1,Cara,298718,300832,face s3
gaze s1,Cara,300832,300997,body s3
gaze s1,Cara,300997,303681,face s3
gaze s1,Cara,303681,304622,background own body
gaze s1,Cara,304622,313374,face s1
gaze s1,Cara,313374,314919,NA
gaze s1,Cara,314919,317036,face s3
gaze s1,Cara,317036,318687,background wall
gaze s1,Cara,318687,319721,background ceiling
gaze s1,Cara,319721,320451,face s3
gaze s1,Cara,320451,320679,background floor
gaze s1,Cara,320679,320817,body s3
gaze s1,Cara,320817,324198,face s3
gaze s1,Cara,324198,327243,face s2
gaze s1,Cara,327243,328326,face s3
gaze s1,Cara,328326,328804,background floor
gaze s1,Cara,328804,330985,face s3
gaze s1,Cara,330985,331162,NA
gaze s1,Cara,331162,332161,face s3
gaze s1,Cara,332161,332400,background floor
gaze s1,Cara,332400,335795,face s3
gaze s1,Cara,335795,343915,NA
gaze s1,Cara,343915,344846,face s3
gaze s1,Cara,344846,347502,background floor
gaze s1,Cara,347502,349889,face s3
gaze s1,Cara,349889,350179,NA
gaze s1,Cara,350179,350699,background wall
gaze s1,Cara,350704,351181,face s3
gaze s1,Cara,351181,352127,face s2
gaze s1,Cara,352127,353480,background wall
gaze s1,Cara,353480,353784,background ceiling
gaze s1,Cara,353784,355306,background wall
gaze s1,Cara,355306,356285,face s2
gaze s1,Cara,356285,357926,background wall
gaze s1,Cara,357926,359218,face s3
gaze s1,Cara,359218,360528,background wall
gaze s1,Cara,360528,365599,face s3
gaze s1,Cara,365599,365966,background own body
gaze s1,Cara,365966,369533,face s3
gaze s1,Cara,369533,369726,background wall
gaze s1,Cara,369726,372353,background eyes closed
gaze s1,Cara,372353,376067,background wall
gaze s1,Cara,376067,376809,face s3
gaze s1,Cara,376809,377793,background window
gaze s1,Cara,377793,379628,background floor
gaze s1,Cara,379628,379967,background eyes closed
gaze s1,Cara,379970,380483,body s3
gaze s1,Cara,380483,383042,face s3 
gaze s1,Cara,383042,383400,background eyes closed
gaze s1,Cara,383400,383846,background window
gaze s1,Cara,383846,384117,background wall
gaze s1,Cara,384117,385082,background window
gaze s1,Cara,385082,387800,face s3
gaze s1,Cara,387800,388723,background window
gaze s1,Cara,388723,389520,background ceiling
gaze s1,Cara,389520,390414,background floor
gaze s1,Cara,390414,391233,background window
gaze s1,Cara,391233,392280,background wall
gaze s1,Cara,392280,395357,face s3
gaze s1,Cara,395357,396119,background window
gaze s1,Cara,396119,396562,background wall
gaze s1,Cara,396562,397158,body s3
gaze s1,Cara,397158,398112,face s3
gaze s1,Cara,398112,398648,face s2
gaze s1,Cara,398649,401295,face s3
gaze s1,Cara,401295,402263,background wall
gaze s1,Cara,402263,402528,background window
gaze s1,Cara,402528,403944,background eyes closed
gaze s1,Cara,403944,404075,face s3
gaze s1,Cara,404076,404676,face s2
gaze s1,Cara,404676,407380,face s3
gaze s1,Cara,407380,408124,background wall
gaze s1,Cara,408124,409610,face s3
gaze s1,Cara,409610,409768,background wall
gaze s1,Cara,409769,411619,face s3
gaze s1,Cara,411619,415810,NA
gaze s1,Cara,415810,424357,face s2
gaze s1,Cara,424357,425411,face s3
gaze s1,Cara,425411,426728,face s2
gaze s1,Cara,426728,427238,body s2
gaze s1,Cara,427238,430324,face s2
gaze s1,Cara,430324,430558,body s2
gaze s1,Cara,430558,436961,face s2
gaze s1,Cara,436961,437962,NA
gaze s1,Cara,437962,438228,face s2
gaze s1,Cara,438228,439123,face s3
gaze s1,Cara,439123,439853,face s2
gaze s1,Cara,439853,442004,face s3
gaze s1,Cara,442006,444927,face s2
gaze s1,Cara,444927,447111,background eyes closed
gaze s1,Cara,447111,447285,background wall
gaze s1,Cara,447285,448453,face s2
gaze s1,Cara,448453,449881,NA
gaze s1,Cara,449881,450037,face s3
gaze s1,Cara,450037,450847,NA
gaze s1,Cara,450851,451160,face s2
gaze s1,Cara,451160,452755,NA
gaze s1,Cara,452755,453364,face s3
gaze s1,Cara,453364,454039,face s2
gaze s1,Cara,454039,455357,face s3
gaze s1,Cara,455357,456024,background window
gaze s1,Cara,456024,456202,background eyes closed
gaze s1,Cara,456202,456456,face s3
gaze s1,Cara,456456,457179,face s2
gaze s1,Cara,457179,457723,NA
gaze s1,Cara,457723,458304,background wall
gaze s1,Cara,458304,463350,face s2
gaze s1,Cara,463350,464988,face s3
gaze s1,Cara,464989,467167,background own body
gaze s1,Cara,467167,470721,NA
gaze s1,Cara,470721,472941,background window
gaze s1,Cara,472941,475279,face s3
gaze s1,Cara,475279,479044,background camera
gaze s1,Cara,479047,479800,background wall
gaze s1,Cara,479800,482188,NA
gaze s1,Cara,482189,482657,background wall
gaze s1,Cara,482657,484672,face s3
gaze s1,Cara,484672,487119,face s2
gaze s1,Cara,487119,488208,face s3
gaze s1,Cara,488208,488623,background wall
gaze s1,Cara,488623,490467,background ceiling
gaze s1,Cara,490467,491574,background own body
gaze s1,Cara,491574,492379,face s3
gaze s1,Cara,492379,493961,face s2
gaze s1,Cara,493961,494211,body s2
gaze s1,Cara,494211,496452,face s2
gaze s1,Cara,496452,496680,NA
gaze s1,Cara,496680,497200,face s3
gaze s1,Cara,497200,498213,face s2
gaze s1,Cara,498213,500217,face s3
gaze s1,Cara,500217,501096,face s2
gaze s1,Cara,501096,502312,face s3
gaze s1,Cara,502312,503201,face s2
gaze s1,Cara,503201,506412,face s3
gaze s1,Cara,506412,507679,background own body
gaze s1,Cara,507680,513531,face s3 
gaze s1,Cara,513531,515012,background wall
gaze s1,Cara,515012,519484,NA
gaze s1,Cara,519484,520198,background wall
gaze s1,Cara,520198,520598,NA
gaze s1,Cara,520598,522881,background wall
gaze s1,Cara,522881,524728,face s3
gaze s1,Cara,524728,526719,background wall
gaze s1,Cara,526719,527251,NA
gaze s1,Cara,527251,528725,background wall
gaze s1,Cara,528725,533143,NA
gaze s1,Cara,533143,536064,background floor
gaze s1,Cara,536064,536246,NA
gaze s1,Cara,536246,536474,background wall
gaze s1,Cara,536474,537082,background wall
gaze s1,Cara,537082,537283,face s3
gaze s1,Cara,537283,538040,NA
gaze s1,Cara,538040,539217,face s3
gaze s1,Cara,539217,540384,background own body
gaze s1,Cara,540384,541555,face s3
gaze s1,Cara,541555,541997,body s3
gaze s1,Cara,541997,545307,face s3
gaze s1,Cara,545310,545447,body s3
gaze s1,Cara,545451,546656,face s3
gaze s1,Cara,546656,548203,background window
gaze s1,Cara,548206,548847,background wall
gaze s1,Cara,548847,549565,face s2
gaze s1,Cara,549565,550967,face s3
gaze s1,Cara,550967,552239,face s2
