Begin Time - msec	End Time - msec	Duration - msec	gaze s1	gaze s2	gaze s3	
500825	503604	2779		face s1	
503604	503937	333	face s3	gestures s1	
503937	504169	232	face s3	face s1	face s1
504169	513128	8959		face s3	
513128	514061	933		gestures s3	
514061	516220	2159		NA	
516220	518079	1859	NA	face s3	
518079	521371	3292		background wall	
521371	522109	738	background wall	face s3	
522109	522366	257	background wall	gestures s3	background down
522366	523507	1141		face s3	
523507	523777	270	face s3	body s3	
523777	526450	2673		face s3	
526450	526758	308		NA	face s1
526758	527804	1046		face s3	
527804	527923	119	background wall	NA	background down
527923	528471	548	background wall	face s3	
528471	529203	732		body s3	face s1
529203	529324	121	NA	background floor	face s1
529324	529732	408	NA	NA	face s1
529732	530163	431	NA	face s1	face s1
530166	531023	857	NA	face s3	face s1
531023	532604	1581	NA	NA	
532605	534213	1608		face s3	
534213	534488	275	background floor	background wall	background wall
534488	534685	197	background floor	face s3	background wall
534685	534924	239	background floor	background wall	background wall
534925	536484	1559		face s3	
536484	537160	676		background wall	background floor
537160	537460	300		face s3	background floor
537460	538167	707		background wall	
538167	538889	722	face s3	face s3	face s1
538889	539099	210	face s3	background wall	face s1
539099	541775	2676		face s3	
541775	543413	1638		face s1	face s1
543416	543687	271	face s3	background wall	face s1
543687	545961	2274		face s3	
545961	546416	455	face s3	background ceiling	
546416	547479	1063		face s3	face s1
547479	548850	1371		body s3	face s1
548850	549340	490	face s2	background floor	face s1
549340	549802	462		NA	face s1
549802	550285	483	face s3	face s1	face s1
550285	550811	526	face s3	body s1	face s1
550811	552280	1469		face s1	face s1
552282	552771	489		body s1	face s1
552771	553281	510	background window	face s1	face s1
553281	554467	1186		body s1	face s1
554468	555964	1496	face s3	face s1	face s1
555965	556665	700	face s3	body s1	
556665	558158	1493		face s1	
558158	558615	457	background eyes closed	body s1	
558615	559448	833		face s1	
559448	559660	212		body s1	face s1
559660	562202	2542		face s1	
562202	562964	762		face s3	face s2
562964	563363	399	face s2	background wall	
563363	563541	178	face s2	face s3	face s1
563541	563967	426	face s2	background wall	
563967	565165	1198		NA	face s1
565165	565293	128	face s3	background wall	face s1
565293	568258	2965		face s1	face s1
568258	568733	475	face s3	gestures s1	face s1
568733	569540	807		face s1	
569540	570329	789		NA	face s1
570329	570480	151	face s3	background wall	face s1
570482	572371	1889		face s3	
572371	573452	1081	background floor	face s1	
573452	576988	3536		background floor	
576988	585128	8140		face s3	
585128	585374	246	face s3	gestures s3	background down
585374	586088	714		face s3	
586088	586322	234	face s2	gestures s3	background wall
586322	586901	579	face s2	face s3	
586901	587022	121	face s2	gestures s3	
587025	587528	503		NA	face s1
587528	588570	1042	face s3	face s3	face s1
588572	589045	473	face s3	NA	
589045	593154	4109		face s1	
593154	593488	334		background wall	face s2
593488	593806	318		NA	face s2
593806	594089	283	background ceiling	background wall	
594089	594554	465	background ceiling	NA	face s1
594555	594967	412	background ceiling	background wall	face s1
594969	595491	522		face s3	
595491	596014	523	background wall	background camera	background wall
596014	599040	3026		face s1	
599040	599810	770	background window	background camera	background down
599810	600046	236	background window	background floor	background down
600046	601895	1849		background camera	
601899	603381	1482	face s3	background floor	face s1
603382	603565	183	face s3	background camera	face s1
603565	605572	2007		face s1	
605572	606126	554	face s2	NA	face s1
606127	607720	1593		face s1	face s1
607720	607864	144	NA	body s1	face s1
607864	610366	2502		background wall	
610366	615058	4692		face s3	face s1
615058	615561	503	background floor	background wall	face s1
615561	616723	1162	background floor	face s3	
616723	617684	961		background wall	face s1
617684	618167	483		face s3	
618167	618969	802	background window	NA	background floor
618970	620032	1062		face s3	
620032	622162	2130	face s3	face s1	
622162	623253	1091		body s1	
623253	623965	712		background wall	
623965	624687	722		face s1	face s1
624687	624879	192	background ceiling	NA	
624879	625362	483	background ceiling	background wall	
625362	626325	963		body s1	face s1
626325	629289	2964		face s1	
629289	630367	1078		background floor	face s1
630368	631137	769	face s3	background camera	face s1
631137	631423	286	face s3	face s1	face s1
631423	632139	716	face s3	body s1	face s1
632139	632885	746	face s3	background floor	
632888	633320	432	face s3	body s1	face s1
633320	634330	1010	face s3	face s1	face s1
634332	634621	289	face s3	body s1	face s1
634622	635690	1068		face s1	
635690	636203	513	face s2	body s1	
636203	637169	966	face s2	face s1	
637169	637447	278	face s2	background wall	
637449	639643	2194		NA	
639643	643453	3810		face s3	
643453	644327	874		background floor	
644327	646985	2658	face s3	face s3	background wall
646986	648010	1024	face s3	background wall	background wall
648010	649246	1236	face s3	face s3	background wall
649246	652489	3243		body s3	
652489	654530	2041		face s3	
654530	655085	555	face s3	NA	face s1
655085	656178	1093	face s3	face s3	face s1
656178	656644	466		background wall	face s1
656644	657884	1240	NA	face s3	
657884	659403	1519		background wall	background wall
659403	671849	12446		face s3	
671849	672046	197	face s3	background floor	
672047	672330	283	face s3	face s3	face s1
672330	672571	241	face s3	background floor	face s1
672574	672772	198	face s3	face s3	face s1
672772	672926	154	face s3	background wall	face s1
672926	673365	439		NA	face s1
673365	673568	203		face s3	
673571	673763	192	face s2	NA	face s2
673763	674207	444	face s2	face s3	face s2
674207	674565	358		body s3	face s2
674566	675083	517	face s3	background wall	
675084	678929	3845	face s3	face s3	
678929	679906	977	face s3	background wall	
679906	680689	783	face s3	body s3	
680689	682768	2079		face s3	face s1
682768	683321	553	face s3	body s3	face s1
683321	686904	3583		face s3	
686905	691043	4138		face s1	
691043	691439	396	face s3	body s1	face s1
691439	691621	182	face s3	face s1	face s1
691621	694976	3355		face s3	
694977	696608	1631	NA	NA	
696608	697252	644	NA	face s3	face s1
697252	698682	1430		NA	
698682	698928	246	background ceiling	background ceiling	
698928	699420	492		background wall	
699421	701201	1780		face s1	
701201	701843	642	face s2	NA	
701843	702124	281	face s2	background wall	face s2
702125	702742	617	face s2	face s1	face s2
702743	703754	1011	face s2	face s3	face s2
703754	704903	1149	face s2	NA	face s2
704904	706009	1105	face s2	face s3	face s2
706009	707485	1476	face s2	background floor	face s2
707485	709616	2131		face s3	face s2
709616	710001	385	face s2	background wall	face s2
710001	710772	771	face s2	face s3	face s2
710772	711171	399	face s2	background wall	face s2
711172	712725	1553		face s3	
712727	714325	1598	face s2	face s1	
714325	714575	250	face s2	body s1	face s2
714575	717204	2629		face s1	
717204	717605	401		NA	face s2
717606	717987	381	face s2	face s3	
717989	720329	2340	face s2	face s1	
720330	720610	280	face s2	background floor	face s2
720610	723606	2996		face s1	face s2
723606	724806	1200		NA	face s2
724806	725812	1006		face s3	
725812	726171	359	face s3	body s3	face s1
726171	728053	1882		face s3	
728054	728174	120	face s2	background wall	face s2
728174	728894	720		NA	
728894	729536	642	face s3	background wall	
729536	730585	1049		face s3	
730585	731247	662		body s3	
731247	732968	1721		face s3	
732968	733164	196	background floor	background wall	background down
733164	733324	160	background floor	face s3	background down
733324	737489	4165		face s1	
737490	738520	1030	face s2	NA	face s2
738520	739606	1086		background floor	face s2
739606	740575	969		background wall	
740576	740810	234	face s2	NA	face s2
740810	741621	811	face s2	background ceiling	face s2
741621	742257	636	face s2	background own body	face s2
742257	742867	610	face s2	background wall	face s2
742867	745166	2299		face s1	face s2
745166	745288	122	NA	background wall	face s2
745288	746562	1274		NA	face s2
746562	747764	1202	face s2	background wall	face s2
747764	748926	1162	face s2	background ceiling	
748926	750560	1634		background wall	
750560	751655	1095		face s1	
751657	752138	481	face s2	background wall	
752138	753448	1310		NA	face s2
753449	757567	4118		face s1	face s2
757567	757842	275	face s2	background wall	face s2
757842	758728	886		NA	
758728	759971	1243		face s1	face s1
759971	761140	1169		face s3	
761140	762132	992	face s2	face s1	
762132	762328	196	face s2	background wall	face s2
762328	762807	479	face s2	NA	face s2
762807	763526	719	face s2	background wall	face s2
763526	763775	249	face s2	NA	face s2
763775	766765	2990	face s2	background ceiling	face s2
766765	769332	2567		face s1	
769332	770728	1396	face s2	NA	
770728	771979	1251	face s2	background wall	face s2
771979	772760	781		face s1	face s2
772760	773057	297		background wall	
773057	773885	828		face s3	
773885	774600	715	face s3	NA	
774600	775725	1125		face s3	face s2
775725	777281	1556		background wall	face s2
777281	777403	122	face s3	NA	face s2
777403	779365	1962		face s3	
779365	779648	283		NA	face s1
779648	781164	1516		face s1	face s1
781164	781284	120	face s2	background floor	face s1
781284	781768	484	face s2	NA	face s1
781768	782364	596	face s2	face s1	face s1
782364	782920	556	face s2	background wall	
782920	783525	605	face s2	NA	face s2
783525	788243	4718		face s1	
788243	788489	246		background camera	face s1
788489	791762	3273		face s1	
791762	792292	530	face s2	background wall	
792292	792422	130	face s2	face s3	NA
792423	792723	300	face s2	NA	NA
792723	792961	238	face s2	body s3	
792961	793169	208	face s2	body s1	face s2
793169	793529	360	face s2	background camera	face s2
793529	795668	2139		face s1	
795668	796415	747	background floor	face s3	
796415	796656	241	background floor	body s1	NA
796656	797006	350	background floor	NA	
797006	797370	364		face s1	
797370	800764	3394		face s3	
800764	801806	1042		background wall	
801806	802007	201	face s2	NA	face s2
802007	802492	485	face s2	background wall	face s2
802492	806328	3836		face s1	face s2
806328	806482	154	face s2	body s1	face s2
806482	806885	403	face s2	face s1	face s2
806885	807122	237	face s2	background camera	face s2
807123	809282	2159		face s1	face s2
809282	809771	489	NA	background wall	
809771	810031	260	NA	face s3	
810031	811364	1333		background wall	
811364	811884	520	face s2	face s1	
811884	812206	322	face s2	background wall	face s1
812206	812454	248	face s2	background camera	
812454	813043	589	face s2	face s1	
813043	813643	600		NA	background wall
813643	814002	359		face s3	background wall
814002	814362	360	background window	NA	
814362	814529	167		face s1	face s2
814529	816565	2036		face s3	face s2
816565	820891	4326		background wall	face s2
820891	821160	269	face s2	background camera	face s2
821160	822212	1052	face s2	background floor	face s2
822212	822525	313	face s2	background own body	face s2
822525	822776	251	face s2	background camera	face s2
822776	823082	306	face s2	background own gestures	face s2
823082	825160	2078	face s2	face s3	face s2
825160	825820	660		face s1	face s2
825820	827325	1505		face s3	face s2
827325	827739	414	face s2 	background camera	face s2
827739	828884	1145	face s2 	background wall	face s2
828884	829565	681	face s2 	NA	face s2
829565	833243	3678	face s2 	face s1	face s2
833243	833565	322	face s2 	background camera	face s2
833565	834006	441	face s2 	face s3	face s2
834006	834528	522	face s2 	NA	face s2
834528	835207	679	face s2 	background floor	face s2
835207	836778	1571	face s2 	face s3	face s2
836778	837243	465	face s2 	background floor	face s2
837243	837487	244	face s2 	NA	face s2
837487	837800	313	face s2 	background wall	face s2
837800	839684	1884	face s2 	face s3	face s2
839684	839887	203	face s2 	background camera	face s2
839887	841801	1914	face s2 	face s3	face s2
841801	842612	811		background wall	face s2
842612	843760	1148		face s1	
843760	844092	332	face s2 	background floor	
844092	846732	2640	face s2 	face s1	
846732	847129	397	face s2 	background wall	face s2
847130	847609	479	face s2 	NA	face s2
847609	852048	4439		face s1	
852048	852368	320	background window	body s1	face s1
852368	852564	196	background window	face s1	face s1
852564	853325	761		body s1	face s1
853325	853681	356	face s3	face s1	face s1
853681	854329	648		body s1	
854329	856125	1796		face s1	
856125	856490	365	background window	body s1	background floor
856490	856684	194	background window	face s1	background floor
856684	856914	230	background window	NA	background floor
856914	857040	126	background window	body s1	background floor
857040	857326	286	background window	NA	background floor
857326	861162	3836		face s1	
861162	865615	4453		face s3	
865615	866368	753		background wall	background floor
866368	866800	432	NA	face s3	
866800	866968	168	NA	NA	face s1
866968	870048	3080		face s3	
870048	870385	337		NA	
870385	875723	5338		face s1	
875723	877329	1606	NA	background wall	
877329	879043	1714		face s1	
879045	879406	361		background wall	background floor
879406	879526	120	NA	face s1	background floor
879526	879871	345	NA	NA	
879871	880048	177	NA	background wall	face s1
880048	880775	727	NA	NA	
880775	887405	6630		background camera	
887405	887812	407	face s3	NA	face s2
887812	890970	3158		face s3	face s2
890970	891532	562	face s2	NA	face s2
891532	892251	719	face s2	background wall	
892251	894245	1994	face s2	face s3	
894245	896446	2201	face s2	background wall	face s2
896446	896654	208	face s2	NA	face s2
896654	897660	1006	face s2	background wall	face s2
897660	898253	593	face s2	background camera	face s2
898253	898921	668	face s2	NA	face s2
898921	899176	255	face s2	face s3	face s2
899176	900364	1188		background camera	
900364	904160	3796		face s1	
904160	904362	202	face s2	background camera	
904362	904851	489	face s2	face s1	face s2
904851	905009	158	face s2	background wall	face s2
905009	907335	2326		face s1	face s2
907335	908565	1230		face s3	
908565	909646	1081		face s1	face s2
909646	909842	196	face s2	NA	face s2
909842	910409	567	face s2	face s1	face s2
910409	910657	248	face s2	background wall	face s2
910657	911329	672		face s1	
911329	911804	475		background wall	face s1
911804	912473	669	face s2	face s1	face s1
912473	912690	217	face s2	body s1	face s1
912690	912973	283	face s2	NA	face s1
912973	916123	3150		face s1	
916123	916729	606		background wall	
916729	917048	319		background camera	background wall
917048	918321	1273		face s1	background wall
918321	918681	360	background window	NA	background wall
918681	919168	487	background window	face s1	background wall
919168	919728	560	background window	background camera	background wall
919728	921453	1725	background window	body s1	background wall
921453	922248	795		face s3	background wall
922248	923403	1155		background down	
923403	923809	406	face s2	NA	NA
923809	927084	3275		face s3	
927084	934092	7008		face s1	
934092	934492	400	face s3	NA	face s1
934492	935092	600	face s3	face s1	face s1
935092	935485	393		gestures s1	face s1
935485	936640	1155		NA	
936640	937765	1125		body s1	
937765	938087	322		background camera	
938087	944015	5928		face s3	
944015	944285	270	face s2	background wall	
944285	944848	563		NA	
944848	945164	316	face s3	background wall	face s1
945165	945575	410	face s3	NA	face s1
945575	946001	426	face s3	background ceiling	
946001	946967	966	face s3	NA	
946967	947240	273	face s3	background ceiling	background wall
947242	947726	484	face s3	NA	background wall
947726	949969	2243	face s3	face s3	
949969	950406	437	face s3	NA	face s1
950406	950723	317		face s3	face s1
950723	951321	598		NA	face s1
951321	951923	602	face s3	face s3	
951923	952440	517	face s3	NA	background floor
952440	954081	1641		face s3	
954081	954523	442	NA	face s1	face s1
954523	954960	437	NA	NA	face s1
954960	955081	121	NA	background wall	face s1
955081	955284	203	NA	NA	face s1
955284	962682	7398		face s1	
962682	962892	210	background wall	body s1	face s1
962892	966364	3472		face s1	face s1
966364	966701	337	background floor	gestures s1	face s1
966701	973365	6664		face s1	
973365	974000	635	background wall	NA	face s1
974000	975010	1010	background wall	face s1	
975010	979330	4320		face s3	
979330	981403	2073		face s1	face s1
981403	981603	200	NA	gestures s1	face s1
981604	982625	1021		face s1	face s1
982625	984317	1692		NA	
984317	984442	125	NA	background window	face s1
984442	984772	330	NA	background wall	face s1
984775	985246	471	NA	NA	face s1
985246	985803	557	NA	background camera	face s1
985804	986166	362	NA	face s1	face s1
986167	986407	240	NA	NA	face s1
986408	986772	364	NA	face s1	
986772	986923	151	NA	NA	background wall
986924	987601	677		face s1	
987602	987802	200	face s3	NA	face s1
987803	988011	208	face s3	background wall	face s1
988011	988242	231	face s3	NA	face s1
988242	988486	244	face s3	background wall	face s1
988486	988687	201	face s3	NA	face s1
988687	989683	996		face s1	face s1
989684	989943	259	background window	background down	face s1
989943	990162	219	background window	face s1	face s1
990162	990844	682	background window	background camera	face s1
990844	991444	600	background window	NA	face s1
991445	992698	1253	background window	gestures s1	face s1
992698	998640	5942		face s1	face s1
998640	1000964	2324		background camera	face s1
1000964	1001882	918		body s1	face s1
1001882	1002005	123	background floor	background wall	face s1
1002005	1002205	200	background floor	body s1	face s1
1002207	1010519	8312		face s1	
1010519	1010728	209	face s3	body s1	face s1
1010728	1029359	18631		face s1	
1029359	1029568	209	NA	background camera	face s1
1029568	1030006	438		NA	
1030006	1031409	1403		face s3	
1031409	1032808	1399		NA	
1032809	1032944	135	face s3	face s1	face s1
1032945	1033153	208	face s3	background camera	face s1
1033153	1035635	2482		background floor	face s1
1035635	1039720	4085		face s1	face s1
1039720	1040322	602	background wall	background own body	face s1
1040322	1040923	601		NA	face s1
1040923	1043285	2362		face s1	face s1
1043286	1044372	1086		body s1	face s1
1044372	1046492	2120		face s1	face s1
1046493	1048160	1667		body s1	face s1
1048160	1049884	1724	face s3	face s1	face s1
1049884	1050489	605		gestures s1	
1050489	1051002	513	background own body	face s1	
1051002	1051251	249	background own body	background wall	background wall
1051251	1051403	152	background own body	face s1	background wall
1051403	1051845	442	background own body	NA	
1051845	1052766	921		face s1	face s1
1052766	1053176	410	NA	body s1	face s1
1053176	1053366	190		face s1	face s1
1053367	1054125	758		body s1	
1054125	1054886	761	background ceiling	face s1	background down
1054886	1055723	837		body s1	
1055723	1056893	1170		background down	face s1
1056893	1057082	189	face s3	body s1	face s1
1057082	1057245	163	face s3	NA	face s1
1057245	1058201	956		face s1	face s1
1058203	1058373	170	NA	body s1	face s1
1058374	1058762	388	NA	background wall	face s1
1058763	1059005	242	NA	NA	face s1
1059006	1059645	639		background camera	
1059645	1060242	597		NA	
1060242	1060447	205	background wall	background wall	face s1
1060448	1060979	531		face s1	face s1
1060981	1062000	1019		background camera	face s1
1062000	1062599	599		NA	
1062599	1062886	287	face s3	background wall	background wall
1062886	1063812	926		face s3	background wall
1063812	1064081	269	background floor	NA	background wall
1064081	1064443	362	background floor	face s3	background wall
1064443	1065001	558	background floor	background wall	background wall
1065001	1069721	4720		face s1	
1069721	1069885	164	background wall	body s1	face s1
1069885	1072725	2840		face s1	face s1
1072725	1073562	837	background wall	body s1	face s1
1073562	1075243	1681	background wall	background camera	face s1
1075243	1075920	677		face s1	face s1
1075921	1076772	851		body s1	
1076773	1077403	630	background wall	face s1	
1077403	1077689	286		gestures s1	face s1
1077689	1079756	2067		face s1	face s1
1079756	1080283	527		body s1	face s1
1080283	1082815	2532		background down	
1082816	1085161	2345		face s1	
1085161	1086039	878	NA	NA	face s1
1086039	1088630	2591	NA	background down	
1088630	1089175	545		NA	
1089176	1089614	438	background close s3	background wall	face s1
1089614	1091567	1953	background close s3	face s1	
1091567	1092286	719	background close s3	background window	face s1
1092286	1092721	435	background close s3	background wall	face s1
1092721	1092926	205	background close s3	background window	
1092926	1093748	822		background wall	
1093750	1094030	280		background ceiling	background camera
1094030	1095102	1072	NA	background wall	background camera
1095102	1096284	1182		background ceiling	
1096287	1096644	357	background ceiling	face s1	
1096644	1096961	317	background ceiling	body s1	
1096961	1097852	891	background ceiling	face s1	
1097852	1098257	405		background wall	face s1
1098257	1105165	6908		face s1	
1105165	1106366	1201		background eyes closed	face s1
1106366	1107302	936	face s3	face s1	face s1
1107303	1108167	864		body s1	
1108167	1109411	1244	background floor	face s1	
1109411	1109698	287	background floor	background down	face s1
1109698	1109858	160	background floor	body s1	
1109860	1110925	1065		face s1	
1110925	1111089	164	face s3	body s1	face s1
1111090	1111458	368	face s3	face s1	
1111458	1111682	224	face s3	gestures s1	body s1
1111682	1122762	11080		face s1	
1122762	1122884	122	background wall	gestures s1	face s1
1122884	1128241	5357		face s1	face s1
1128241	1128608	367		gestures s1	
1128609	1129563	954		face s1	
1129563	1129702	139	background wall	body s1	face s1
1129702	1130406	704	background wall	background floor	face s1
1130406	1130605	199	background wall	background camera	face s1
1130605	1132362	1757		face s1	face s1
1132363	1133162	799		gestures s1	face s1
1133163	1133802	639	background window	face s1	face s1
1133802	1134162	360	background window	body s1	
1134162	1134603	441		face s1	
1134603	1135606	1003	face s3	face s3	face s1
1135607	1137406	1799		face s1	
1137406	1137573	167	face s2	background floor	face s2
1137574	1140168	2594		face s1	
1140169	1140722	553	face s2	NA	face s1
1140722	1141417	695		background camera	face s1
1141417	1143847	2430		background floor	
1143847	1146100	2253		background camera	
1146100	1149003	2903		face s3	
1149003	1149328	325	face s3	background wall	
1149328	1149764	436	face s3	NA	
1149765	1151537	1772		background wall	face s1
1151537	1153648	2111		face s1	face s1
1153649	1153964	315	face s2	body s1	face s1
1153964	1155840	1876		face s1	face s1
1155840	1156246	406		NA	face s1
1156247	1157042	795		face s1	
1157042	1157508	466		background wall	face s2
1157508	1158048	540		background eyes closed	face s2
1158049	1158777	728		background floor	face s2
1158777	1160520	1743		face s1	
1160520	1160647	127	face s3	background wall	face s1
1160648	1161882	1234		NA	face s1
1161882	1163148	1266	face s3	background wall	face s1
1163148	1164719	1571		face s1	face s1
1164719	1166720	2001	NA	NA	
1166720	1167115	395	NA	background wall	
1167115	1169481	2366		face s1	
1169481	1169769	288	background wall	background wall	face s1
1169769	1170603	834		face s1	face s1
1170603	1170764	161	background window	NA	face s1
1170766	1172365	1599		face s1	face s1
1172365	1172929	564		background wall	face s1
1172929	1174065	1136		NA	
1174065	1175162	1097		face s1	
1175162	1175817	655	NA	background wall	
1175817	1178406	2589		face s1	
1178407	1179404	997	face s2	NA	face s2
1179405	1179811	406	face s2	background floor	face s2
1179812	1180203	391	face s2	body s1	face s2
1180203	1180546	343	face s2	background floor	
1180546	1182003	1457	face s2	face s1	
1182003	1182364	361	face s2	NA	face s2
1182364	1182568	204	face s2	background wall	face s2
1182569	1183133	564	face s2	NA	face s2
1183133	1183685	552	face s2	background camera	face s2
1183685	1184041	356	face s2	background floor	face s2
1184041	1184166	125	face s2	background camera	face s2
1184166	1184607	441		NA	face s2
1184607	1184884	277	NA	background wall	face s2
1184884	1185442	558	NA	background wall	face s2
1185442	1188798	3356		face s3	face s2
1188798	1189528	730	face s2	face s1	face s2
1189528	1189889	361	face s2	face s3	face s2
1189890	1190610	720		NA	face s2
1190610	1191486	876		background camera	face s2
1191486	1191680	194		background wall	face s2
1191680	1194410	2730		face s3	
1194410	1194679	269		background wall	face s2
1194679	1196167	1488		face s3	
1196167	1196402	235	NA	background wall	face s1
1196402	1197373	971		face s1	face s1
1197373	1197640	267	background wall	background camera	
1197640	1198444	804		face s3	NA
1198444	1199731	1287		NA	
295837	303484	7647			face s1
303484	305558	2074			background wall
305558	306683	1125	face s1	face s3	face s1
306683	308920	2237	face s1	face s3	NA
308920	309159	239	face s1	face s3	face s1
309159	309683	524	face s1	face s3	NA
309683	312042	2359	face s1		face s1
312042	312291	249	face s1	face s1	body s1
312291	316169	3878		face s1	face s1
316169	316489	320	face s3	face s1	background wall
316489	317165	676			face s1
317165	317311	146	background wall		body s1
317311	320370	3059		face s1	face s1
320370	321206	836		face s1	body s1
321206	326757	5551			face s1
326757	327041	284	face s2	face s1	body s1
327041	327808	767			face s1
327809	333207	5398			background floor
333207	334010	803	face s3	body s1	face s1
334010	335170	1160	face s3	body s1	NA
335171	336005	834			face s1
336005	336662	657	NA	NA	NA
336664	336974	310	NA	NA	face s2
336974	337215	241	NA	NA	NA
337215	338340	1125	NA		face s1
338340	338921	581	NA	background camera	face s2
338921	339413	492	NA	background camera	NA
339413	339618	205	NA	background camera	background wall
339618	340403	785	NA		background floor
340403	341404	1001	NA	background wall	face s1
341404	341546	142	NA		NA
341546	341726	180	NA	face s3	background wall
341727	342238	511	NA	face s3	NA
342239	344295	2056			background own body
344295	345204	909		face s3	background wall
345204	350763	5559			face s1
350763	350943	180	face s3	face s1	body s2
350943	357800	6857			face s2
357800	358901	1101			face s2
358901	360896	1995		face s3	NA
360897	361103	206	face s3	face s3	background wall
361105	362071	966	face s3	face s3	face s1
362071	363299	1228	face s3	face s3	background own body
363299	364366	1067	face s3	face s3	face s1
364366	365404	1038	face s3	face s3	background floor
365404	366161	757		face s3	face s1
366161	368125	1964	face s3		background wall
368125	369153	1028	face s3		background floor
369153	370684	1531			face s1
370684	371532	848	background eyes closed		face s2
371534	372094	560	background eyes closed		NA
372096	374051	1955			face s1
374051	375925	1874	background wall		NA
375925	377065	1140			background wall
377065	380328	3263			face s1
380328	380478	150	body s3	face s1	background floor
380478	381297	819		face s1	face s1
381297	381446	149	face s3 		gestures s1
381446	384697	3251			face s1
384697	385292	595		body s1	body s1
385293	386173	880	face s3		face s1
386175	387003	828	face s3	face s1	background wall
387003	394920	7917			face s1
394920	396179	1259			background wall
396179	396531	352	background wall	body s1	face s1
396531	397898	1367			NA
397898	398021	123	face s3		body s1
398022	398643	621			face s1
398643	399004	361		background floor	body s1
399004	399241	237	face s3	background floor	background down
399241	400362	1121	face s3	background floor	face s1
400362	400507	145	face s3	background floor	body s1
400507	402561	2054			face s1
402561	403717	1156	background eyes closed		background wall
403717	404005	288			NA
404005	406523	2518			face s1
406525	407321	796	face s3		background wall
407323	407964	641			face s1
407964	409172	1208		face s3	face s2
409172	409444	272	face s3	face s3	body s1
409444	409646	202		face s3	face s1
409646	409806	160		face s3	background wall
409808	410607	799	face s3		NA
410607	411485	878	face s3		face s1
411485	412010	525			face s2
412010	413280	1270	NA		face s1
413280	414574	1294	NA		NA
414574	415767	1193	NA		face s1
415767	416402	635			face s2
416402	417861	1459	face s2	background ceiling	background floor
417861	423570	5709	face s2		face s2
423570	424202	632	face s2	face s1	face s1
424202	424362	160		face s1	background wall
424363	426084	1721			NA
426084	426803	719			face s2
426804	427054	250	body s2	background floor	face s1
427057	427366	309			NA
427366	428524	1158	face s2	face s1	face s1
428524	431209	2685			face s2
431209	431646	437	face s2	background wall	NA
431646	437120	5474			face s2
437120	441397	4277			face s1
441397	441530	133	face s3	face s3	background wall
441530	442765	1235			NA
442765	447491	4726			face s2
447491	449460	1969			face s1
449461	450131	670		background wall	body s1
450131	450665	534	NA		face s1
450666	452245	1579			face s2
452245	452443	198	NA	NA	NA
452443	453985	1542			face s1
453985	454482	497		face s1	gestures s1
454482	458390	3908			face s1
458390	459475	1085	face s2		background wall
459476	462767	3291	face s2		face s2
462767	466246	3479			face s1
466246	466443	197	background own body	background wall	NA
466443	467091	648	background own body		body s1
467091	467482	391		background wall	face s1
467482	467963	481	NA		body s1
467963	469407	1444	NA		face s1
469407	469718	311	NA	NA	NA
469718	471840	2122			background floor
471840	476682	4842			background camera
476682	477918	1236	background camera		face s1
477918	480712	2794			background camera
480712	483161	2449			face s1
483161	483375	214	face s3		NA
483375	484485	1110	face s3		background own gestures
484488	485204	716			face s1
485204	485970	766	face s2		face s2
485970	490049	4079			face s1
490049	490204	155	background ceiling	background floor	NA
490204	491013	809			background wall
491013	491252	239	background own body	face s1	face s1
491255	494925	3670			face s2
494925	499662	4737			face s1
499662	500094	432	face s3	body s1	NA
500094	502083	1989			face s1
502083	503659	1576			face s2
503659	506319	2660	face s3		face s1
506319	506680	361		face s3	NA
506680	506805	125	background own body	face s3	background wall
506805	508997	2192		face s3	face s1
508997	509122	125	face s3 	face s3	background floor
509122	509890	768	face s3 	face s3	face s1
509892	511116	1224	face s3 	face s3	background wall
511116	512328	1212	face s3 	face s3	face s1
512328	513358	1030	face s3 		background down
513358	514767	1409			face s1
514767	515561	794		NA	face s2
515561	516525	964	NA		face s1
516527	518039	1512	NA	face s3	background wall
518039	518207	168	NA		face s1
518207	518529	322	NA	background wall	background wall
518530	520037	1507		background wall	face s1
520037	520540	503		background wall	NA
520540	520812	272		background wall	background ceiling
520812	521800	988	background wall		face s1
521800	522607	807	background wall		background down
522609	523608	999			face s1
523608	525405	1797			face s2
525405	526807	1402			face s1
526807	527312	505		face s3	background wall
527312	527537	225	background wall	face s3	face s1
527537	528216	679	background wall		background down
528216	531575	3359			face s1
531575	532128	553	NA	NA	face s2
532128	533560	1432			NA
533560	533884	324	background floor	face s3	face s1
533884	534989	1105	background floor		background wall
534989	535440	451	background floor	face s3	face s1
535440	537706	2266			background floor
537706	539357	1651			face s1
539357	540689	1332		face s3	background wall
540689	543847	3158			face s1
543847	544488	641	face s3	face s3	background wall
544488	545805	1317		face s3	face s1
545805	545921	116	face s3	face s3	background floor
545921	546041	120	face s3		body s1
546041	556121	10080			face s1
556124	556645	521	face s3	body s1	NA
556646	557767	1121	face s3		background wall
557767	558475	708			face s1
558475	558767	292	background eyes closed		body s1
558767	561767	3000			face s1
561767	561972	205	face s3	face s1	background floor
561973	562118	145	face s3	face s1	face s1
562118	563162	1044			face s2
563162	563320	158	face s2	background wall	NA
563320	563840	520	face s2		face s1
563840	563964	124	face s2	background wall	NA
563964	568925	4961			face s1
568925	569122	197		face s1	NA
569122	571077	1955			face s1
