Begin Time - msec	End Time - msec	Duration - msec	gaze s1	gaze s2	gaze s3	
587453	589279	1826	face s3		
589279	589779	500	background wall	face s1	
589779	590313	534	body s2	face s1	face s1
590313	591184	871	background eyes closed	face s1	face s1
591184	592506	1322	background wall	face s1	
592506	593318	812	NA		
593318	593665	347	background wall		face s2
593667	595384	1717	background ceiling		
595384	596563	1179	background wall		
596563	596966	403	face s3	face s1	face s1
596966	598494	1528	background wall	face s1	
598496	598866	370	face s3	face s1	background down
598866	600202	1336	background window		background down
600205	600526	321	face s3	background camera	
600526	600885	359	background wall	background camera	face s1
600885	604961	4076	face s3		
604963	606231	1268	face s2		
606231	609872	3641	NA		
609873	612230	2357	face s3		
612230	613365	1135	NA	face s3	face s1
613366	613860	494	background wall	face s3	face s1
613860	616749	2889	background floor		
616749	618006	1257	face s3		face s1
618006	619930	1924	background window		
619931	622220	2289	face s3		
622221	622729	508	background own body	body s1	
622729	623964	1235	face s3		
623964	624323	359	body s3		face s1
624326	625678	1352	background ceiling		
625678	626965	1287	face s3		
626968	627988	1020	background own body	face s1	
627988	628132	144	body s3	face s1	face s1
628132	629376	1244	background window		face s1
629376	635680	6304	face s3		
635680	637842	2162	face s2		
637842	637981	139	background wall	NA	face s2
637981	638666	685	NA	NA	
638666	639132	466	background wall	NA	face s1
639132	639922	790	face s3		face s1
639922	640568	646	face s2	face s3	face s1
640568	643641	3073	face s3		
643641	644126	485	background eyes closed	background floor	
644128	649767	5639	face s3		background wall
649767	650165	398	background floor	body s3	background wall
650165	652536	2371	face s3		
652539	653442	903	NA	face s3	
653443	654105	662	background window	face s3	face s2
654105	656441	2336	face s3		
656441	658017	1576	NA		
658017	658770	753	background wall	background wall	background wall
658770	662043	3273	background floor		
662043	664364	2321	face s3	face s3	
664364	664600	236	NA	face s3	face s1
664600	668329	3729	face s3	face s3	
668329	669285	956	background wall	face s3	
669285	669660	375	face s3	face s3	NA
669661	670711	1050	background window	face s3	
670711	673052	2341	face s3		
673052	673482	430	NA		
673482	674563	1081	face s2		face s2
674563	681313	6750	face s3		
681313	682207	894	background wall	face s3	face s1
682207	683602	1395	face s3		
683602	683747	145	NA	face s3	NA
683747	688887	5140	face s3		
688887	689327	440	NA	face s1	face s1
689327	692006	2679	face s3		
692006	692248	242	background wall	face s3	face s1
692248	693003	755	face s3	face s3	
693003	697607	4604	NA		
697607	699034	1427	background ceiling		
699034	700690	1656	NA		
700690	708707	8017	face s2		
708710	709403	693	face s3	face s3	face s2
709403	711836	2433	face s2		
711836	712369	533	face s3	face s3	face s1
712369	714894	2525	face s2		
714894	715322	428	body s2	face s1	
715322	717015	1693	face s2	face s1	
717015	717472	457	face s3		face s2
717474	721226	3752	face s2		
721227	721491	264	gestures s2	face s1	face s2
721491	722438	947	face s2	face s1	face s2
722438	723026	588	background eyes closed	face s1	face s2
723026	723915	889	face s2		face s2
723915	724602	687	face s3	NA	face s2
724602	724918	316	background wall		
724918	725482	564	face s2	face s3	face s1
725482	727674	2192	face s3		
727674	728317	643	face s2		
728317	729688	1371	face s3		
729688	730288	600	face s2	face s3	background wall
730288	731235	947	NA		
731235	731812	577	face s3		
731812	733727	1915	background floor		background down
733727	734866	1139	face s2	face s1	
734868	735194	326	body s2	face s1	face s2
735194	739210	4016	face s2		face s2
739210	739970	760	background wall		
739970	745007	5037	face s2		
745007	745476	469	NA		face s2
745476	749499	4023	face s2		
749499	750491	992	NA	background wall	
750491	750682	191	body s2		
750685	752757	2072	face s2		
752758	753636	878	background eyes closed		face s2
753636	755371	1735	face s2	face s1	face s2
755371	755846	475	face s3	face s1	face s2
755848	758209	2361	face s2		face s2
758209	758555	346	NA	NA	face s2
758555	758922	367	face s2		
758922	760689	1767	face s3		
760690	767606	6916	face s2		
767606	768170	564	background eyes closed	face s1	
768170	772064	3894	face s2		
772064	772885	821	NA		face s2
772885	773118	233	face s2		
773118	775299	2181	face s3		
775299	776805	1506	face s2		face s2
776805	777891	1086	face s3		face s2
777891	778640	749	face s2	face s3	
778640	779554	914	NA		
779554	779882	328	background floor		face s1
779882	780361	479	NA	face s1	face s1
780361	784201	3840	face s2		
784201	784821	620	NA	face s1	face s2
784821	785897	1076	face s2	face s1	face s2
785897	786761	864	body s2	face s1	
786762	788403	1641	face s2		face s1
788403	788769	366	background ceiling		face s1
788769	789277	508	face s3	face s1	face s1
789277	794676	5399	face s2		
794678	797359	2681	background floor		
797359	799721	2362	face s3		
799721	801297	1576	background floor		background wall
801297	802734	1437	face s2		
802735	803600	865	NA	face s1	face s2
803600	808606	5006	face s2		face s2
808606	810722	2116	NA		
810722	813248	2526	face s2		
813248	813734	486	face s3		background wall
813734	814443	709	background window		
814443	815363	920	face s3		face s2
815363	816469	1106	face s2	face s3	face s2
816469	816629	160	body s2		face s2
816629	825452	8823	face s2		face s2
825452	826017	565	background eyes closed		face s2
826017	842318	16301	face s2 		face s2
842318	842996	678	background eyes closed		face s2
842996	848090	5094	face s2 		
848090	848594	504	background eyes closed	face s1	face s2
848594	849886	1292	face s2	face s1	face s2
849886	851240	1354	NA	face s1	
851240	851447	207	face s3	face s1	NA
851447	851964	517	face s2	face s1	
851964	853258	1294	background window		face s1
853258	853723	465	face s3		face s1
853723	854877	1154	face s2		
854877	858688	3811	background window		
858688	859326	638	face s3	face s1	face s1
859326	859740	414	background wall	face s1	face s1
859740	864932	5192	NA 		
864933	866043	1110	background wall		background floor
866043	867422	1379	NA		
867422	868927	1505	face s3	face s3	
868927	870264	1337	background wall		
870264	870571	307	background floor		
870572	872241	1669	NA	face s1	face s1
872241	872462	221	background wall	face s1	face s1
872462	873342	880	face s3	face s1	face s1
873342	877439	4097	NA		
877439	877768	329	face s3	face s1	body s1
877768	879113	1345	NA		
879113	879243	130	background wall	background wall	background floor
879243	882989	3746	NA		
882989	886192	3203	background floor	background camera	
886192	888201	2009	face s3		
888201	900332	12131	face s2		
900332	900501	169	NA		
900501	906804	6303	face s2		
906804	907766	962	background wall		
907766	908837	1071	face s3		
908837	911156	2319	face s2		
911156	911440	284	face s3		face s1
911440	913089	1649	face s2		face s1
913089	914564	1475	face s3	face s1	
914566	915475	909	face s2	face s1	
915475	916285	810	face s3		face s1
916287	916752	465	NA		
916752	917557	805	face s2		background wall
917557	918082	525	face s3	face s1	background wall
918082	922000	3918	background window		background wall
922000	922437	437	face s3		background wall
922437	924051	1614	face s2		
924051	928404	4353	face s3		
928404	929156	752	background wall	face s1	
929156	929527	371	background floor	face s1	face s1
929529	930814	1285	background wall	face s1	face s1
930816	933364	2548	face s3	face s1	face s1
933364	934001	637	face s2	face s1	face s1
934001	935384	1383	face s3		face s1
935384	935748	364	background window		face s1
935748	936392	644	NA	NA	face s1
936392	937369	977	face s3		
937369	937987	618	body s3		NA
937987	941368	3381	face s3		
941368	942007	639	background window	face s3	
942008	943044	1036	face s3	face s3	
943044	944501	1457	face s2		
944502	950498	5996	face s3		
950500	950724	224	face s2		face s1
950724	953119	2395	face s3		
953119	953362	243	background floor	face s3	face s1
953362	955578	2216	NA		face s1
955578	957399	1821	face s3	face s1	face s1
957399	959923	2524	background window	face s1	
959923	960043	120	NA	face s1	face s1
960044	962456	2412	face s3	face s1	face s1
962456	963126	670	background wall		face s1
963126	963929	803	NA	face s1	face s1
963929	964243	314	background wall	face s1	face s1
964244	965282	1038	NA	face s1	face s1
965282	967408	2126	background floor		face s1
967408	968446	1038	background ceiling	face s1	face s1
968446	971289	2843	face s3	face s1	
971289	971924	635	background wall	face s1	face s1
971924	972366	442	face s3	face s1	face s1
972366	976487	4121	background wall		
976487	977575	1088	face s3	face s3	
977575	979407	1832	background wall		
979407	979928	521	background window	face s1	face s1
979928	980079	151	face s3	face s1	face s1
980079	981826	1747	NA		face s1
981827	982168	341	face s3	face s1	face s1
982168	982646	478	background wall		face s1
982646	983093	447	background window	NA	face s1
983093	983400	307	face s3	NA	face s1
983400	987133	3733	NA		
987133	988723	1590	face s3		
988723	992923	4200	background window		face s1
992923	994138	1215	background wall	face s1	face s1
994138	994758	620	background window	face s1	face s1
994758	996475	1717	face s3	face s1	face s1
996475	997522	1047	background wall	face s1	face s1
997522	999770	2248	body s3		face s1
999770	1000226	456	face s3	background camera	face s1
1000226	1000542	316	body s3	background camera	face s1
1000542	1001562	1020	face s3		face s1
1001562	1003860	2298	background floor		face s1
1003860	1004732	872	face s3	face s1	face s1
1004732	1006482	1750	body s3	face s1	
1006482	1007119	637	background wall	face s1	face s1
1007119	1009232	2113	body s3	face s1	face s1
1009232	1011480	2248	face s3		
1011480	1011920	440	NA	face s1	
1011920	1012924	1004	background window	face s1	face s1
1012924	1014754	1830	background ceiling	face s1	face s1
1014754	1016013	1259	background wall	face s1	
1016013	1018765	2752	face s3	face s1	
1018766	1019005	239	NA	face s1	NA
1019005	1020441	1436	background wall	face s1	
